campaign_id,campaign_name,channel,date,impressions,clicks,conversions,cost,revenue,target_audience,region
CMP_007588,Fall Awareness,Instagram,2026-01-23 18:06:32.560854,4654,183,13,617.69,551.03,Professionals (25-34),Asia Pacific
CMP_002070,Q2 Retargeting,Email,2025-09-13 18:06:32.560854,2700,34,1,84.83,141.36,Adults (35-44),North America
CMP_007622,Winter Sale,Email,2025-12-06 18:06:32.560854,61034,5320,111,17060.28,19175.08,Adults (35-44),North America
CMP_002064,Winter Launch,LinkedIn,2025-10-31 18:06:32.560854,12357,308,22,654.08,3387.76,Adults (35-44),North America
CMP_007734,Holiday Conversion,Google Ads,2026-02-14 18:06:32.560854,2715,32,2,78.84,243.75,Professionals (25-34),Europe
CMP_003438,Holiday Retention,LinkedIn,2025-12-15 18:06:32.560854,13191,884,69,2103.49,11431.02,Adults (35-44),Europe
CMP_006126,Q1 Promo,Facebook,2026-02-08 18:06:32.560854,8973,463,13,716.06,1303.26,Professionals (25-34),Asia Pacific
CMP_005101,Holiday Launch,Email,2025-10-27 18:06:32.560854,3763,339,13,172.16,1289.11,Adults (35-44),North America
CMP_005500,Q3 Retention,Google Ads,2025-12-26 18:06:32.560854,8441,216,11,895.47,,Professionals (25-34),Europe
CMP_004523,Spring Retargeting,Facebook,2026-03-06 18:06:32.560854,2125,31,0,116.64,0.0,Young Adults (18-24),North America
CMP_000316,Summer Promo,LinkedIn,2026-01-14 18:06:32.560854,138481,10548,515,33699.12,53718.99,Young Adults (18-24),Latin America
CMP_006179,Q1 Promo,Google Ads,2025-07-17 18:06:32.560854,6098,79,2,123.26,352.95,Professionals (25-34),Latin America
CMP_006305,Winter Launch,Google Ads,2025-10-03 18:06:32.560854,11493,954,91,4006.42,,Adults (35-44),North America
CMP_000458,Fall Awareness,Email,2025-11-03 18:06:32.560854,9795,793,84,2020.11,11552.32,Professionals (25-34),Asia Pacific
CMP_000539,Q2 Retention,LinkedIn,2025-10-28 18:06:32.560854,3776,262,30,491.63,3332.0,Adults (35-44),Latin America
CMP_005310,Holiday Retention,Google Ads,2026-03-07 18:06:32.560854,184052,5584,593,14195.76,37819.7,Seniors (45+),Latin America
CMP_006476,Fall Conversion,Google Ads,2026-03-15 18:06:32.560854,37144,2575,295,10889.55,25757.56,Seniors (45+),North America
CMP_001057,Q3 Retention,Facebook,2026-02-02 18:06:32.560854,1938,43,2,136.68,177.1,Adults (35-44),Europe
